,Property_details,Area,Price,Area Type,Number of Sq ft
247,"6 BHK Independent House for Sale in Thondamuthur, Coimbatore",2000 sqft,₹95 Lac ,Super Area,2000 sqft
248,"2 BHK Independent House for Sale in Seera Naicken Palayam, Coimbatore",900 sqft,₹34 Lac ,Carpet Area,900 sqft
249,"2 BHK Independent House for Sale in Kovaipudur Pirivu, Coimbatore",1500 sqft,₹72 Lac ,Carpet Area,1500 sqft
250,"4 BHK Independent House for Sale in Pattanam, Coimbatore",2400 sqft,₹75 Lac ,Carpet Area,2400 sqft
251,"2 BHK Independent House for Sale in Athipalayam, Coimbatore",700 sqft,₹30 Lac ,Carpet Area,700 sqft
252,"2 BHK Independent House for Sale in Gandhipuram, Coimbatore",2587 sqft,₹3.90 Cr ,Super Area,2587 sqft
253,"2 BHK Independent House for Sale in Saravanampatty, Coimbatore",650 sqft,₹1.40 Cr ,Carpet Area,650 sqft
254,"3 BHK Independent House for Sale in Thudiyalur, Coimbatore",1250 sqft,₹85 Lac ,Super Area,1250 sqft
255,"3 BHK Independent House for Sale in Bodipalyam, Coimbatore",2200 sqft,₹82 Lac ,Carpet Area,2200 sqft
256,2 BHK Independent House for Sale in Coimbatore,1500 sqft,₹80 Lac ,Super Area,1500 sqft
257,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",1800 sqft,₹1.20 Cr ,Carpet Area,1800 sqft
258,"2 BHK Independent House for Sale in Idigarai, Coimbatore",725 sqft,₹35 Lac ,Carpet Area,725 sqft
259,"2 BHK Independent House for Sale in Karamadai, Coimbatore",1050 sqft,₹49.9 Lac ,Carpet Area,1050 sqft
260,"2 BHK Independent House for Sale in Keeranatham, Coimbatore",1250 sqft,₹52 Lac ,Carpet Area,1250 sqft
261,"4 BHK Independent House for Sale in Vellalore, Coimbatore",3320 sqft,₹1.45 Cr ,Carpet Area,3320 sqft
262,"2 BHK Independent House for Sale in Chettipalayam, Coimbatore",800 sqft,₹40 Lac ,Carpet Area,800 sqft
263,"2 BHK Independent House for Sale in Peelamedu, Coimbatore",750 sqft,₹86 Lac ,Super Area,750 sqft
264,"3 BHK Independent House for Sale in Podunur, Coimbatore",1812 sqft,₹95 Lac ,Super Area,1812 sqft
265,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",3 cent,₹76 Lac ,Carpet Area,3 cent
266,"2 BHK Independent House for Sale in Karamadai, Coimbatore",160 sqft,₹40 Lac ,Carpet Area,160 sqft
267,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",864 sqft,₹85 Lac ,Carpet Area,864 sqft
268,"2 BHK Independent House for Sale in Sirumugai, Coimbatore",800 sqft,₹65 Lac ,Super Area,800 sqft
269,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",1760 sqft,₹77 Lac ,Carpet Area,1760 sqft
270,"3 BHK Independent House for Sale in Bommanampalayam, Coimbatore",250 sqft,₹70 Lac ,Carpet Area,250 sqft
271,"7 BHK Independent House for Sale in Selvapuram, Coimbatore",3400 sqft,₹1.75 Cr ,Super Area,3400 sqft
272,"2 BHK Independent House for Sale in Mettupalayam, Coimbatore",680 sqft,₹34 Lac ,Carpet Area,680 sqft
273,"2 BHK Independent House for Sale in Kamarajar Road Lakshmipuram, Coimbatore",2000 sqft,₹1.80 Cr ,Carpet Area,2000 sqft
274,"2 BHK Independent House for Sale in Keeranatham, Coimbatore",794 sqft,₹39 Lac ,Carpet Area,794 sqft
275,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",2456 sqft,₹2.10 Cr ,Carpet Area,2456 sqft
276,"2 BHK Independent House for Sale in Pannimadai, Coimbatore",950 sqft,₹55 Lac ,Carpet Area,950 sqft
277,"5 BHK Independent House for Sale in Selvapuram, Coimbatore",5 cent,₹1.30 Cr ,Carpet Area,5 cent
278,"5 BHK Independent House for Sale in TVS Nagar, Coimbatore",2600 sqft,₹1.40 Cr ,Carpet Area,2600 sqft
279,"2 BHK Independent House for Sale in Pattanam, Coimbatore",1000 sqft,₹38 Lac ,Carpet Area,1000 sqft
280,"4 BHK Independent House for Sale in Kamban Nagar Ondipudur, Coimbatore",900 sqft,₹67 Lac ,Carpet Area,900 sqft
